objectid,cdmid,collectionid,compound_range,compound,cpdmaster,ia_identifier,title,othertitle,creator,contributor,date,description,subject,location,time_period,abstract,publisher,serialtitle,agencycurrent,rights,physicalcharacteristics,source,identifier,type,physicalformat,language,digitalcharacteristics,digitalcollection,format,titlereplaces,titlereplacedby,audience,metadatacreator,presfilename,preslocalfilepath,fulltext,transcription,capturetools,oclcnumber
coll058,89,p16062coll13,,,,,Five Palmer Institute Teachers,,,,1900,"This photograph depicts five Palmer Memorial Institute (PMI) teachers. PMI was established in 1902 by Dr. Charlotte Hawkins Brown at Sedalia, North Carolina near Greensboro. The African American school evolved from an agricultural and manual training facility to a fully accredited, nationally recognized preparatory school. More than 1,000 students graduated during Brown's 50-year presidency. The school closed its doors in the 1970s, but the campus reopened in 1987 as North Carolina's first African American state historic site and a memorial to Dr. Brown.","Palmer Memorial Institute (Sedalia, N.C.)--History; Brown, Charlotte Hawkins, 1883--1961; Teachers; African Americans--History--North Carolina; African Americans--Southern States--History; African American women","Sedalia, Guilford County, North Carolina; Guilford County, North Carolina",(1900-1929) North Carolina's industrial revolution and World War One,,,,,"This item is presented courtesy of the Charlotte Hawkins Brown Museum, a Historic Site within the North Carolina Department of Cultural Resources, for research and educational purposes. Prior permission from the Charlotte Hawkins Brown Museum is required for any commercial use.",Photograph,,,Image,Photographs,English,,African American Education,image/jpeg,,,All,North Carolina Digital Heritage Center; Francesca Perez,chb_photos_teacherportrait,,,,,
coll059,81,p16062coll13,,,,,"Dr. Brown with Maria, Nat King, and Cookie Cole",,,,1948-03,"Dr. Charlotte Hawkins Brown with Nat King, Maria, and Cookie Cole celebrating a birthday. Maria Cole was the niece of Dr. Brown.","Palmer Memorial Institute (Sedalia, N.C.)--History; Cole, Nat King, 1919--1965; Brown, Charlotte Hawkins, 1883--1961;Cole, Maria, 1922--2012; African American women","Sedalia, Guilford County, North Carolina; Guilford County, North Carolina",(1945-1989) Post War/Cold War period,,,,,"This item is presented courtesy of the Charlotte Hawkins Brown Museum, a Historic Site within the North Carolina Department of Cultural Resources, for research and educational purposes. Prior permission from the Charlotte Hawkins Brown Museum is required for any commercial use.",Photograph,,,Image,Photographs,English,,African American Education,image/jpeg,,,All,North Carolina Digital Heritage Center; Francesca Perez,chb_photos_drbrownandcole,,,,,
coll060,6889,p16062coll44,6889; 7009,,7009,,Commission Report. Printed copies (2).,,North Carolina. Governor's Commission on the Status of Women.;,"Bireline, George, 1923-2002.;",1964,"The printed Governor's Commission on the Status of Women report titled as """"The Many Lives of North Carolina Women.""""","Women's rights; Employment & social affairs; Equality--United States; North Carolina--History; Sanford, Terry, 1917--1998; Labor laws and legislation; African American women; Indians of North America; Education & culture; Discrimination; Income distribution; Communities; Families--United States--Statistics; Civil rights; Civil rights movements--United States--History--20th century; Volunteers; Volunteer jobs; Voting; Civic participation: working for civil rights; Civic improvement; Political activists--United States; Women political activists; North Carolina Council for Women; North Carolina Council on the Status of Women; North Carolina. Governor's Commission on the Status of Women;","Raleigh, Wake County, North Carolina; Wake County, North Carolina",(1945-1989) Post War/Cold War period,,,,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,120 pages,Governor's Commission on the Status of Women. Terry Sanford Governor's Papers. State Archives of North Carolina,528.6,Text,Reports,English,,Council on the Status of Women,image/jpeg,,,All,"Rankins, Brittney",SR_Commission_Status_Women_Box6_Folder4,,,,Zeutschel Book Scanner,
coll061,1839,p16062coll44,,1839; 1840; 1841; 1842;,1842,,"Commission. Publicity. Photograph of assembled Commission, October 31, 1964.",,North Carolina. Governor's Commission on the Status of Women.;,,1964-10-31,"Photograph of the Commission on the Status of Women assembled for a meeting and an enclosed caption noting the members.; Caption: ""Attending the 31st October meeting of the Governor's Commission on the Status of Women were left to right: Mrs. William T. Crisp, Mrs. Gladys A. Tillett, Dr. Ellen Winston, Mrs. Sarah Herbin, Dr. Rachel Davis, Mr. James E. Lambeth, Dr. Anne F. Scott (CHAIRMAN), Dr. William H. Cartwright, Mrs. C. Odell Matthews, Dr. Guion Johnson, Mrs. Ruth Easterling, Mrs. Anne Kennedy. Members of the Commission not present were: Mrs. C.W. Beasley, Miss Bonnie E. Cone, E. McArthur Currie, Oscar R. Ewing, Dr. Juanita Kreps, Dr. Arthur Larson.""","Women's rights; Employment & social affairs; Equality--United States; North Carolina--History; Sanford, Terry, 1917--1998; African American women; North Carolina Council for Women; North Carolina Council on the Status of Women; North Carolina. Governor's Commission on the Status of Women;","Raleigh, Wake County, North Carolina; Wake County, North Carolina",(1945-1989) Post War/Cold War period,,,,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,3 pages,Governor's Commission on the Status of Women. Terry Sanford Governor's Papers. State Archives of North Carolina,528.1,Image; Text,Photographs,English,,Council on the Status of Women,image/jpeg,,,All,"Rankins, Brittney",SR_Commission_Status_Women_Box1_Folder10,,,,Zeutschel Book Scanner,
coll062,682,p16062coll17,,,,,African American women picketers holding signs calling for justice.,,"News and observer (Raleigh, N.C.)",,1960,African American women picketers holding signs calling for justice.,Civil rights movements--North Carolina--History--20th century; African Americans--Civil rights; North Carolina--Social conditions--20th century; North Carolina--Race relations--History--20th century; Civil rights demonstrations--North Carolina;,North Carolina,(1954-1971) Civil Rights era,,,,,Image copyright is owned by the News & Observer newspaper. Please do not use or publish without permission from the N&O.,black and white negative,News and Observer Photograph Files. State Archives of North Carolina,NO_2_10_1960_Sit_DownStrikeWoolworths_Fr21.jpg,Image,Negatives (photographic),English,,Civil Rights,image/jpeg,,,All,"Cusick, Aaron",NO_2_10_1960_Sit_DownStrikeWoolworths_Fr21.jpg,,,,,
coll063,16861,p15012coll8,16861; 16874,,16874,,"Mary Speed Jones Mercer, Songs - United: A National Hymn",,"Mercer, Mary Speed Jones.; Sousa, John Philip, 1854-1932.",,1909,"United: A National Hymn is a song copyrighted by Mary Speed Jones Mercer in 1909. She wrote the words and melody, although the orchestration was written by John Philip Sousa. The orchestration includes violins, viola, trombone, clarinet, flute, drums, and bass. She hoped the song would be adopted as the national anthem, but The Star-Spangled Banner was adopted instead in 1931.","American fiction--Women authors; Lee, Annie Carter, 1839--1862; Lee, Robert E. (Robert Edward), 1807--1870; Warren County (N.C.); Women poets; North Carolina--History--Civil War, 1861--1865; Music by women composers; Sepulchral monuments","Warrenton, Warren County, North Carolina; Warren County, North Carolina",(1900-1929) North Carolina's industrial revolution and World War One,,,,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,,Mary Speed Jones Mercer Papers. Private Collections. State Archives of North Carolina,,Text,Sheet music; Songs (musical compositions),English,13 pages,Civil War Collection,image/jpeg,,,All,"Rankins, Brittney",PC_1948_Mary_Speed_Mercer_Papers_United_Hymn,,,,Zeutschel Book Scanner,
coll064,945,p16062coll10,945; 950,,981,,"Margaret I. Saunders Correspondence, March 1945",,"Saunders, Margaret I. (Margaret Isabelle Henderson), 1914-1999.",,1945-03,"V-Mail correspondence by Margaret I. Saunders to her husband Lee Saunders, March, 1945. V-Mail for March 13, 1945, does not have Part 8. Lee Saunders served in the U.S. Army Corps of Engineers in the segregated, all African-American unit of Company C, 1332nd Engineer General Service Regiment. He would serve in the Pacific Theater of World War II in New Guinea, the East Indies, and Papua New Guinea. Margaret Saunders describes her and her family's experiences at home near the end of WWII.","Bennett College (Greensboro, N.C.); Roosevelt, Eleanor, 1884--1962; World War, 1939--1945; World War, 1939--1945--African Americans","Greensboro, Guilford County, North Carolina; Guilford County, North Carolina",(1929-1945) Depression and World War Two,,,,,May be protected by copyright law (Title 17 US Code). Obtain proper release forms prior to reproducing this material.;,,Margaret I. Saunders Papers. WWII Papers. Military Collection. State Archives of North Carolina,WWII 16,Image,Correspondence,English,,World War II,image/jpeg,,,All,"Carlisle, Olivia",MilColl_WWII_16_Saunders_Margaret_I_Papers_194503,,,,Zeutschel Omniscan 12,
coll065,20301,p16062coll13,20301; 20406,,20406,,"State Supervisor of Elementary Education; National Association of Jeanes Supervisors, Miscellaneous, 1953-1958",,North Carolina. Department of Public Instruction. Division of Negro Education.; National Association of Jeanes Supervisors.,,1951; 1952; 1953; 1954; 1955; 1956; 1957; 1958; 1959,"These materials were created by the Division of Negro Education within the NC Department of Public Instruction. This folder includes correspondence, minutes, newsletters, programs, and rosters related to the Jeanes Foundation. The Negro Rural School Fund of the Anna T. Jeanes Foundation was an endowment created by Anna T. Jeanes, a Quaker from Philadelphia in 1907. The Jeanes Fund was responsible for training African American teachers, who provided an education for African American children in the rural South. African American women, who were often deeply entwined within their local communities, taught industrial, academic, and domestic skills to their students. The education of these skills imparted the knowledge needed to help improve the lives of African Americans as a whole during legal segregation. Subjects in this folder include conference attendance, conference scheduling, regional supervisors meetings, and Jeanes membership. Some of the conference themes included ""Education Makes the Way for Tomorrow's Citizens,"" ""Fifty Years of Jeanes Service,"" and ""Providing for Effective Learning."" The State Supervisor of Elementary Education in the Division of Negro Education travelled the state monitoring the quality of African American elementary schools, conducting meetings with school staff, organizing funding, and teaching demonstration classes.",African Americans--Education; African Americans--Education--History; African Americans--Education (Higher); Education--North Carolina; Teachers,"Atlanta, Fulton County, Georgia; Caruthersville, Pemiscot County, Missouri; Darlington, Darlington County, South Carolina; Fayetteville, Cumberland County, North Carolina; Orangeburg, Orangeburg County, South Carolina; Raleigh, Wake County, North Carolina; Richmond, Richmond (city), Virginia; Tuskegee, Macon County, Alabama; Winston-Salem, Forsyth County, North Carolina",(1945-1989) Post War/Cold War period,,,,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,105 pages,Division of Negro Education. Dept. of Public Instruction. State Archives of North Carolina,104.343,Text,Documents; Letters (correspondence); Programs; Newsletters; Rosters; Minutes,English,,African American Education,image/jpeg,,,All,"Spencer, Anna",SR_DPI_DNE_ElemEd_Box5_Folder10,,,,Zeutschel Book Scanner,
coll066,656,p249901coll44,656; 659,,562,,"Black Mountain College Bulletin, No. 5",Work with Material,"Albers, Anni.",,1938-11,"This bulletin includes an essay by Anni Albers that discusses the role of crafts and art in modern society and, in particular, the value of working directly with materials.",College publications--North Carolina; Weaving--North Carolina--Black Mountain; Arts--Study and teaching; Handicraft;,"Black Mountain, Buncombe County, North Carolina",(1929-1945) Depression and World War Two,,,,,Courtesy of Western Regional Archives. Prior permission from the State Archives of NC is required for any commercial use.;,"1 folded page, illustrated cover","BMCRP, Series VI, Box 75, Folder 4",61.12.6 (Sub Series),Image; Text,Periodicals; Informational pamphlets;,English,,Black Mountain College,application/pdf,,,All,"Yandle, Ashley",Volume6/BMCRP_BMCBulletin_No5_WorkMaterial-2.pdf,,"BLACK MOUNTAIN COLLEGE  BULLETIN 5  WORK WITH MATERIALS    Life today is very bewildering. We have no picture of it which is all-inclusive, such as former times may have had. We have to make a choice between concepts of great diversity. And as a common ground is wanting, we are baffled by them. We must find our way back to simplicity of conception in order to find ourselves. For  only by simplicity can we experience meaning, and only by exper­iencing meaning can we become qualified for independent com­prehension.    In all learning today dependence on authority plays a large part, because of the tremendous field of knowledge to be covered in a short time. This often leaves the student oscillating between admir­ation and uncertainty; with the well-known result that a feeling  of inferiority is today common both in individuals and in whole nations.    Independence presumes a spInt of adventurousness - a faith in one's own strength. It is this which should be promoted. Work in a field where authority has not made itself felt may help toward this goal. For we are overgrown with information, decorative maybe,  but useless in any constructive sense. We have developed our receptivity and have neglected our own formative impulse. It is no accident that nervous breakdowns occur more often in our civiliza­tion  than in those where creative power had a natural outlet in daily activities. And this fact leads to a suggestion: we must come down to earth from the clouds where we live in vagueness and experience the most real thing there is: material.    Civilization seems in general to estrange men from materials, from materials in their original form. The process of shaping these is so divided into separate steps that one person is rarely involved in  the whole course of manufacture, often knowing only the finished product. But if we want to get from materials the sense of direct­ness, the adventure of being close to the stuff the world is made of,  we have to go back to the material itself, to its original state, and from there on partake in its stages of change.    We use materials to satisfy our substantial needs and our spiritual ones as well. We have useful things and beautiful things - equip­ment and works of art. In earlier civilizations there was no clear separation of this sort. The useful thing could he made beautiful in the hands of the artisan, who was also the manufacturer. His  creative impulse was not thwarted by drudgery in one section of a long and complicated mechanical process. He was also a creator. Machines reduce the boredom of repetition. On the other hand they permit play of the imagination only in the planning of the product.    Material, that is to say unformed or unshaped matter, is the field where authority blocks independent experimentation less than in many other fields, and for this reason it seems well fitted to become  the training ground for invention and free speculation. It is here that even the shyest beginner can catch a glimpse of the exhilaration of creating, by being a creator while at the same time he is checked  by irrevocable laws set by the nature of the material, not by man. Free experimentation here can result in t. he fulfillment of an inner urge to give form and to give permanence to ideas, that is to say, it can result in art, or it can result in the satisfaction of invention in some more technical way.    But most important to one's own growth is to see oneself leave the safe ground of accepted conventions and to find oneself alone and self-dependent. It is an adventure which can permeate one's whole  being. Self-confidence can grow. And a longing for excitement can be satisfied without external means, within oneself; for creating is the most intense excitement one can come to know.    All art work, such as music, architecture, and even religion and the laws of science, can be understood as the transformed wish for sta­bility and order. But art work understood as work with a substance  which can be grasped and formed is more suited for the develop­ment of the taste for exploration than work in other fields, for the fact of the inherent laws of material is of importance. They intro­duce boundaries for a task of free imagination. This very freedom  can be so bewildering to the searching person that it may lead to resignation if he is faced with the immense welter of possibilities; but within set limits the imagination can find something to hold to.  There still remains a fullness of choice but one not as overwhelming as that offered by unlimited opportunities. These boundaries may  be conceived as the skeleton of a structure. To the beginners a mate­rial with very definite limitations can for this reason he most helpful in the process of building up independent work.    The crafts, understood as conventions of treating material, introduce another factor: traditions of operation which embody set laws. This may be helpful in one direction, as a frame for work. But these  rules may also evoke a challenge. They are revokable, for they are set by man. They may provoke us to test ourselves against them. But always they provide a discipline which balances the hubris of creative ecstasy.    All crafts are suited to this end, but some better than others. The more possibilities for attack the material offers in its appearance and in its constructional elements, the more it can call out imagina­tion  and productiveness. Weaving is an example of a craft which is many-sided. Besides surface qualities, such as rough and smooth, dull and shiny, hard and soft, it also includes color, and, as the dominating element, texture, which is the result of the construction of weaves. Like any craft it may end in producing useful objects, or it may rise to the level of art.    When teaching the crafts, in addition to the work of free exploring, both the useful and the artistic have to be considered. As we have said before, today only the first step in the process of producing things of need is left to free planning. No variation is possible when production is once taken up, assuming that today mass pro­duction  must necessarily include machine work. This means that  the teaching has to lead toward planning for industrial repetition, with emphasis on making models for industry. It also must attempt to evoke a consciousness of developments, and further perhaps a foreseeing of them. Hence the result of craft work, work done in  direct contact with the material, can come here to have a meaning to a far wider range of people than would be the case if they remained restricted to hand work only. And from the industrial standpoint, machine production will get a fresh impetus from taking up the results of intimate work with material.    The other aspect of craft work is concerned with art work, the realization of a hope for a lawful and enduring nature. Other elements, such as proportion, space relations, rhythm, predominate in these experiments, as they do in the other arts. No limitations other than the fiat of the material itself are set. More than an active process, it is a listening for the dictation of the material and a taking in of the laws of harmony. It is for this reason that we can find certitude in the belief that we are taking part in an eternal order.    November, 1938 Anni Albers  Frontispiece: Tapestry by Anni Albers",,,
coll067,1164,p249901coll44,,,,,"Mary Parks (Mrs. Washington), Black Mountain College Summer Art Institute, 1946",,"Newhall, Nancy Wynne;  Black Mountain College (Black Mountain, N.C.)",,1946,"Mary Parks (Mrs. Washington), Black Mountain College Summer Art Institute, 1946. Photographer: Nancy Newhall.","Black Mountain College (Black Mountain, N.C.); Arts--Study and teaching--North Carolina; Universities and colleges--North Carolina--Black Mountain; College students--North Carolina--Black Mountain; Washington, Mary Parks; African Americans--Education (Higher)--North Carolina; African American college students;","Black Mountain, Buncombe County, North Carolina",(1945-1989) Post War/Cold War period,,,,,Courtesy of Western Regional Archives. Prior permission from the State Archives of NC is required for any commercial use.;,1 black and white photograph,Black Mountain College Research Project. North Carolina Museum of Art. Western Regional Archives,BMC Research Project. Series VII (Visual Materials). Box 91. Folder:North Carolina Division of Archives and History - Portraits - General,Image,Photographs,English,,Black Mountain College,image/jpeg,,,All,"Yandle, Ashley",BMCRP_NCDAH_parksMary,,,,,
coll068,685,p16062coll17,,,,,African American women protesters crowded into a jail cell,,"News and observer (Raleigh, N.C.)",,1963,African American women protesters crowded into a jail cell.,,Civil rights movements--North Carolina--History--20th century; African Americans--Civil rights; North Carolina--Social conditions--20th century; North Carolina--Race relations--History--20th century; Civil rights demonstrations--North Carolina; Jails;,(1954-1971) Civil Rights era,,,,,Image copyright is owned by the News & Observer newspaper. Please do not use or publish without permission from the N&O.,black and white negative,News and Observer Photograph Files. State Archives of North Carolina,NO_5_11_1963_F16_Protesters_arrested.jpg,Image,Negatives (photographic),English,,Civil Rights,image/jpeg,,,All,"Cusick, Aaron",NO_5_11_1963_F16_Protesters_arrested.jpg,,,,,
coll069,2197,p15012coll8,2195; 2198,,2198,,"Letter: Martha Hendley Poteet to Francis Marion Poteet, June 16, 1864",,"Poteet, Martha Hendley",,1864-06-16,"Martha writes to her husband Francis who is away at war, giving us a glimpse into her life while he is gone. She tells him that some of the children are sick. The corn, sweet potato, and Irish potato crops look good and Thomas is helping her plow. She wishes Francis was home so that they would have more to eat and she wouldn't have to work when she was unable to do so. Their new daughter is four weeks old and still needs a name; she includes cutout of the baby girl's hand on a separate piece of paper. She tells about some local people including wounded soldiers and a man who deserted and was sent back. His mother has visited her recently. She tells Francis not to vote for Vance but instead to vote for Holden. She worries about Francis, and tells him she cannot keep working as hard as she has to without him at home. She complains about the price of thread and cotton.","United States--History--Civil War, 1861-1865; United States--History--Civil War, 1861-1865--Correspondence; United States--History--Civil War, 1861-1865--Children; United States--History--Civil War, 1861-1865--Health aspects; Corn; Sweet potatoes; Voting; United States--History--Civil War, 1861-1865--Women; Women--North Carolina; Family farms; United States--History--Civil War, 1861-1865--Food supply; Money--Confederate States of America; United States--History--Civil War, 1861-1865--Desertions; Cotton; North Carolina--History--Civil War, 1861-1865--Sources","McDowell County, North Carolina",(1860-1876) Civil War and Reconstruction,,,,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.;,Manuscript letter; 3 pages,"Poteet-Dickson Letters, 1861-1902. State Archives of North Carolina",P.C. 1825,Image; Text,Letters (correspondence),English,,Civil War Collection,image/jpeg,,,All,"Dasher, Kenneth",PC1825_0053; PC1825_0054; PC1825_0055,,[PC1825_0053 Martha Poteet to F. M. Poteet]                            June the 16 1864    My Dear husband     I seat My self this evening   to write you a few lines to let   you know how we are  Some   of us is not well  me and Thomas   Francis Emer Susannah Amy Jane   has the bowell complaint  I aint   Much sick but I do hope these few   lines May Reach your kind hands   and find you in good health   My corn looks very well  Thomas   will finish plowing it the second   time today  we hav this side the   Creek to hoe  My Neighbours says   that if nothing happens I will   Make a heap of Corn  the sweet   potatoes is very prety and the   irish potatoes is the pretyest I ever   seen  I hav a mess today  I wish you   was hear to eat some with me  I would   be so glad I would not know how   to behave  I hav to live very hard   I haint nothing Much to eat but bread   and not Much of that  if you was hear   I would not hav to live so hard nor   I woudent hav to work when I was not   able  My baby will be 4 weeks old Saturday   Night  she was born the 21 of May   write to Me what to name her   I had the best time I ever had and   I hav bin the stoutest ever sens  I   haint lay in bed in day time in   two Weeks today  I thank the Lord   that he has answerd your prayers   and mine beyon what I could expected   but he has all power  I feel very   thankfull that it is as well with   you as what it is  I hope that God will   bless us to be spared to rais our children   your Mother is well  her and Jemima   Come to see me yesterday  Grason   Dickson run away and got to Camp   Vance and had to go back  I dont   want you to vote for vance  vote    [page 2]   for Holden  vance is to be in   Marion next Monday to speak   James Neal has bought 500 bushels   of corn for this County but it haint   come yet and he says that when they   eat it they may die and go to hell   Louis Walker and Tery Walker is at   home wounded your Mother says tell you   howdy for her and the children sends you   howdy and tell you that they hav to   work very hard and wishes you was   hear to help them [?????????????????????]   this evening I would like to hear   from you to know if you hav got   hurt  I am very uneasy about you   I do hope and pray that  God will shield   you from all harm and danger and   spar your life to come home to me and   your little children  I know that you   want to see your sweet little baby   I would be very glad to see you if   I could but I cant nor I dont know   whether I ever will or not  God knows   I dont  you dont know what a hard   time I hav  I am ruined if you dont never   come home  I cant work another year   as hard as I hav this  if the children   was not as good as they are I dont know   what I would do  the Lord has blessed   us and I hope he will continue to bless   us while we are separated and bring   us together agin in this life   pray for us my Dear that we dont   perish  thread is 100 dollars  Cotten is      two dollars apound  I dont know what   I am to do but I will do the best I can   and trust in God for help  all of our   help comes from him   write to me soon  wen I can hear fom you   and hear that you are well it dos me   a heap of good  May the lord bless and   save you is the prayer of your desolate   Wife  farwell my Dear husband   M. A. E. Poteet to her loving husband   F. M. Poteet   God bless and save you   [page 3]  the sise   of the babys  hand    [Transcribers Note: The image is significantly larger than the actual cutout of the baby's hand.]      ,,Epson Expression 10000XL ,
coll070,1721,p16062coll44,1721; 1747,,1747,,"Commission. Establishment. Governor Sanford's Executive Order and statement, October 11, 1963.",,"Sanford, Terry, 1917-1998.",,1963-10-11,"Copies of the executive order from Governor Terry Sanford establishing the Commission of the Status of Women. In addition, there are statements from Governor Sanford expressing the reason for the establishment and recommendations expected from the group.","Women's rights; Employment & social affairs; Equality--United States; North Carolina--History; Sanford, Terry, 1917-1998; African American women; American Indians; North Carolina Council for Women; North Carolina Council on the Status of Women; North Carolina. Governor's Commission on the Status of Women","Raleigh, Wake County, North Carolina",(1945-1989) Post War/Cold War period,,,,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,26 pages,Governor's Commission on the Status of Women. Terry Sanford Governor's Papers. State Archives of North Carolina,528.1,Text,Executive Orders,English,,Council on the Status of Women,image/jpeg,,,All,"Rankins, Brittney",SR_Commission_Status_Women_Box1_Folder1,,,,Zeutschel Book Scanner,
coll071,3426,p16062coll44,3426; 3581,,3581,,"Commission. Publicity. Clippings, articles, etc., January 1964-January 1965.",,North Carolina. Governor's Commission on the Status of Women.,,1963; 1964; 1965,"Newspaper clippings on the activities of the Commission on the Status of Women and the accomplishments of its members. The questionnaire used to gather statistics for the official report is in the ""Women Workers in North Carolina"" article published in the Tar Heel Woman.","Women's rights; Employment & social affairs; Equality--United States; North Carolina--History; Sanford, Terry, 1917-1998; Labor laws and legislation; Discrimination; Income distribution;Education & culture; Communities; North Carolina Council for Women; North Carolina Council on the Status of Women; North Carolina. Governor's Commission on the Status of Women;","Raleigh, Wake County, North Carolina",(1945-1989) Post War/Cold War period,,,,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,155 pages,Governor's Commission on the Status of Women. Terry Sanford Governor's Papers. State Archives of North Carolina,528.1,Text,Clippings (information artifacts); Newspapers; Periodicals;,English,,Council on the Status of Women,image/jpeg,,,All,"Rankins, Brittney",SR_Commission_Status_Women_Box1_Folder12,,,,Zeutschel Book Scanner,
coll072,7767,p16062coll45,7767; 7816,,7816,,Future Homemakers of America: Activities--Displays--Photographs,,North Carolina. Department of Public Instruction. ,,,"Photographs of displays for programs and conventions. Future Homemakers of America collection, 1929-1984, includes correspondence, reports, news clippings, lists of officers, audits, programs, budgets, photographs, and other records on the history of Future Homemakers of America, New Homemakers of America, and Home Economics Related Occupations. New Homemakers of America, a club for African Americans, merged with Future Homemakers of America when school segregation ended.",Future Homemakers of America; Home economics; Home demonstration work; North Carolina Future Homemakers of America; Segregation; Women--Vocational guidance,North Carolina,(1929-1945) Depression and World War Two; (1945-1989) Post War/Cold War period,,,,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,49 images,Division of Vocational Education. Dept. of Public Instruction. State Archives of North Carolina,104.304 (Series),Image,Photographs,English,,Future Homemakers Associations,image/jpeg,,,All,"Carlisle, Olivia",SR_DPI_DVE_FHA_B7F13_Activities_Displays_Photos,,,,Zeutschel Book Scanner,
coll073,5185,p16062coll45,5185; 5632,,5632,,"New Homemakers of America: Publications--Chatter Box, 1945-1965",,North Carolina. Department of Public Instruction.,,1945; 1946; 1947; 1948; 1949; 1950; 1951; 1952; 1953; 1954; 1955; 1956; 1957; 1958; 1959; 1960; 1961; 1962; 1963; 1964; 1965,"Newsletter ""Chatter Box"" for New Homemakers of America from 1945 to 1965. Future Homemakers of America collection, 1929-1984, includes correspondence, reports, news clippings, lists of officers, audits, programs, budgets, photographs, and other records on the history of Future Homemakers of America, New Homemakers of America, and Home Economics Related Occupations. New Homemakers of America, a club for African Americans, merged with Future Homemakers of America when school segregation ended.",Future Homemakers of America; Home economics; Home demonstration work; New Homemakers of America; North Carolina Future Homemakers of America; Segregation; Women--Vocational guidance,North Carolina,(1929-1945) Depression and World War Two; (1945-1989) Post War/Cold War period; (1954-1971) Civil Rights era,,,,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,447 pages,Division of Vocational Education. Dept. of Public Instruction. State Archives of North Carolina,104.304 (Series),Image; Text,Newsletters,English,,Future Homemakers Associations,image/jpeg,,,All,"Carlisle, Olivia",SR_DPI_DVE_FHA_B11F2_NHA_Chatter_Box,,,,Zeutschel Book Scanner,
coll074,1878,p15012coll10,,,,,For Every Fighter A Woman Worker. Care for her through the YWCA,,"Treidler, Adolph, b. 1886",,1917; 1918,"Female laborer holds up miniature plane in one hand and small artillery shell in the other. Text: ""For Every Fighter a Woman Worker. Care for Her through The YWCA : United War Work Campaign""","World War, 1914-1918; Young Women’s Christian Association of the U.S.A.; United War Work Campaign, Inc.; Women; Labor; Posters; World War, 1914-1918--War work--Women; World War, 1914-1918--Women;",,(1900-1929) North Carolina's industrial revolution and World War One,,"Printed by American Lithographic Co., N.Y.",,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,Color poster printed on paper. 40 x 30 in.,World War I Papers. Military Collection. State Archives of North Carolina,MilColl.WWI.Posters.4.23.c1 (other copies: MilColl.WWI.Posters.4.23.c2; MilColl.WWI.Posters.4.23.c3),Image,Posters,English,,North Carolina in World War I,image/jpeg,,,All,"Cusick, Aaron",MilColl_WWI_Posters_4_23_c1,,,,Graphtec CS600 Pro,
